id,name,date,source,href
1,Минтранс США предложил запретить продажу авиабилетов в Белоруссию,"datetime=""2021-06-30T00:56:58Z""",ВЗГЛЯД.РУ,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
2,"«И России, и Китаю наплевать на Афганистан»","datetime=""2021-06-30T00:56:58Z""",Росбалт,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
3,При ракетном ударе по базе США в Сирии повреждены два здания,"datetime=""2021-06-30T00:56:58Z""",РИА НОВОСТИ,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
4,Беднякам тут не место. Китайцы мечтали победить нищету. Как им помогли интернет и коммунизм?,"datetime=""2021-06-30T00:56:58Z""",Lenta.ru,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
5,Ким Чен Ын заявил о «кризисе» распространения коронавируса в КНДР,"datetime=""2021-06-30T00:56:58Z""",Известия,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
6,"Почему обрушился дом в Майами? Пока спасатели ищут выживших, инженеры выдвигают версии","datetime=""2021-06-30T00:56:58Z""",Би-би-си Русская служба,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
7,Украина обвинила Белоруссию в неуважении демократии из-за конфликта с ЕС,"datetime=""2021-06-30T00:56:58Z""",Lenta.ru,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
8,В Чехии выявлен первый случай штамма коронавируса «лямбда»,"datetime=""2021-06-30T00:56:58Z""",RT на русском,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
9,Ялта накопила более чем годовой запас воды в водохранилищах,"datetime=""2021-06-30T00:56:58Z""",РИА НОВОСТИ,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
10,Исследователи нашли самые старые останки жертвы чумы,"datetime=""2021-06-30T00:56:58Z""",РБК,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
11,"'There is still hope,' rescue team leader says as search enters 7th day at Florida building collapse","datetime=""2021-06-30T07:09:54Z""",CNN ,https://news.google.com/articles/CAIiEOMFqnGvD0RwFoQbanGV8r8qMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&gl=US&ceid=US%3Aen
12,"В странах, победивших коронавирус, новая беда. И более заразная","datetime=""2021-06-30T00:56:58Z""",РИА НОВОСТИ,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
13,Турция захотела тренировать украинских военных,"datetime=""2021-06-30T00:56:58Z""",ВЗГЛЯД.РУ,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
14,BOE botched NYC mayoral primary results by including 'test' run,"datetime=""2021-06-30T07:09:54Z""",New York Post ,https://news.google.com/articles/CAIiEOMFqnGvD0RwFoQbanGV8r8qMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&gl=US&ceid=US%3Aen
15,North Korea Reports a 'Great Crisis' in Covid Response,"datetime=""2021-06-30T07:09:54Z""",The New York Times,https://news.google.com/articles/CAIiEOMFqnGvD0RwFoQbanGV8r8qMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&gl=US&ceid=US%3Aen
