article,source_photo,date
Читатели Daily Mail о подводной лодке «Белгород»: не стоит недооценивать русских,"© РИА Новости, Павел Львов",28.06.2021
"Анализ недавней опасной провокации близ Крыма. Неужели Великобритания из-за своих грез о прежней мощи готова рисковать войной в Европе? Была ли это всего лишь увертюра к росту напряженности, который начнется уже вскоре? (Advance, Хорватия)", | Перейти в фотобанк,28.06.2021
Факти (Болгария): под наблюдением! Российский флот следит за американским эсминцем в Черном море,"© РИА Новости, Денис Петров",28.06.2021
День (Украина): Азербайджан российской тревоги. Поворот Баку в сторону НАТО напугал Кремль,"© РИА Новости, Алексей Куденко",28.06.2021
"The Daily Star (Великобритания): 195-метровая путинская подлодка «Белгород» c ядерным оружием, которое может вызвать цунами, отправилась в плавание","© РИА Новости, Павел Львов",28.06.2021
"Морская пехота США вооружится «Томагавками»: это будет гибридный ответ на российские «Калибры» в Европе (Defense Express, Украина)",© U.S. Navy,28.06.2021
The Telegraph (Великобритания): британские читатели поражены испытаниями подлодки «Белгород»,"© РИА Новости, Павел Львов",29.06.2021
"Третья мировая война из-за Крыма: Украину предупредили об опасности (Главред, Украина)",,29.06.2021
"DeníkN (Чехия): почему не надо встречаться с Путиным? Пока ЕС не уяснит для себя, чего собственно хочет от России (и может получить), нет смысла с ней разговаривать", | Перейти в фотобанк,28.06.2021
"Россия лицом к лицу с НАТО: Путин испытывает таинственную ядерную ракету и гиперзвуковые двигатели, а альянс начинает военные учения в Черном море (The Sun, Великобритания)",,29.06.2021
Еспресо (Украина): во время визита в Вашингтон Зеленский должен решить два вопроса — Фейгин,,28.06.2021
"За кулисами поражения Меркель: как Евросоюз сорвал идею Берлина о «диалоге с Путиным» (Европейська правда, Украина)",,29.06.2021
Хуаньцю шибао (Китай): какое влияние имеет ускорение Россией дедолларизации?,"© РИА Новости, Алексей Сухоруков",29.06.2021
Al Modon (Ливан): битва за «Баб эль-Хава» между Путиным и Байденом, | Перейти в фотобанк,29.06.2021
Вакцинация и сделка века,"© РИА Новости, Абид Мажар",29.06.2021
"Politico (США): Лавров обрушился на Запад, презрительно назвав ЕС «хором в поддержку» Байдена", | Перейти в фотобанк,29.06.2021
"Вести (Украина): если россияне в обход закона купят землю на Украине, ее конфискуют — Минагро",,28.06.2021
"Коренные народы: Канада сталкивается с тенями своего прошлого (Le Figaro, Франция)","© AFP 2021, Geoff Robins",28.06.2021
The Times (Великобритания): секретные документы на автобусной остановке проливают свет на крымскую угрозу,"© CC BY-SA 1.0, CPOA(Phot) Thomas McDonald",28.06.2021
American Thinker (США): консерваторы и приговор Шовену,"© РИА Новости, Стрингер",28.06.2021
"Bild после трагедии в Вюцбурге: почему в Германии никто не говорит о национальности преступников? (Polskie Radio, Польша)",,28.06.2021
Washington Examiner (США): российские снайперы расстреливают украинских солдат,"© РИА Новости, Ульяна Соловьева",29.06.2021
Star (Турция): Россия потребовала сдать оружие! Боевые самолеты начали полеты на малой высоте,"© РИА Новости, Дмитрий Виноградов",28.06.2021
"Дневник (Болгария): как Борисов объявил себя борцом с российским влиянием, с которым мирился годами","© РИА Новости, Алексей Витвицкий",29.06.2021
The National Interest (США): почему Украина – опасный и недостойный союзник для США,"© CC BY-SA 4.0, Пресс-служба Офиса президента Украины",29.06.2021
"Nowa Europa Wschodnia (Польша): мифы, блеф и бизнес. Рецепт отношений между Россией и Западом","© РИА Новости, Алексей Никольский",29.06.2021
As-Sabeel (Иордания): Эрдоган возвращает Турции ведущую роль на международной арене,,29.06.2021
The Spectator (Великобритания): почему саммит ЕС и России в любом случае ждал провал,,29.06.2021
Advance (Хорватия): «перезагрузка» и возвращение к временам до крымского раскола как последний подвиг Железного канцлера?,,29.06.2021
ТСН (Украина): Россия без ума от выставки вооружения в Киеве,,24.06.2021
TNI (CША): так прогнала Россия британский эсминец бомбами или нет?,,24.06.2021
Sohu (Китай): насколько мощна новая подводная лодка? Российский подводный ракетоносец водоизмещением 24 тысячи тонн впервые вышел в море для испытательного пуска межконтинентальной ракеты,"© РИА Новости, Олег Кулешов",25.06.2021
День (Украина): чем Sea Breeze — 2021 напугал Кремль?,"© РИА Новости, Стрингер",25.06.2021
"Грозный российский истребитель Су-35 против американских F-35, F-15 и F-16: кто победит? (The National Interest, США)","© РИА Новости, Виталий Аньков",27.06.2021
Daily Mail (Великобритания): эксклюзивный «геройский» репортаж британского военного обозревателя с борта эсминца Defender из Крыма,,25.06.2021
