id,article,author,date,text
1,Брата Кокорина задержали за драку в кафе в Москве,Non author,"30 июн, 10:04","Ранее судимого за побои Кирилла Кокорина, младшего брата футболиста Александра Кокорина, задержали за драку в кафе в Москве. Об этом сообщает  со ссылкой на источник в правоохранительных органах.По данным собеседника агентства, его задержали около 7:00 30 июня. По предварительным данным, Кокорин был пьян.Источник Агентства городских новостей «Москва» в правоохранительных органах , что Кирилл Кокорин вместе с приятелем, находясь в состоянии алкогольного опьянения, попытался зайти в один из московских ресторанов без QR-кода.              Однако сотрудники заведения отказались впускать их в помещение, на почве чего между ними и персоналом началась драка. «Прибывшие на место сотрудники полиции задержали дебоширов», — добавил источник.Кирилл Кокорин доставлен в отделение МВД России по Пресненскому району столицы, решается вопрос о возбуждении против него уголовного дела о хулиганстве, отмечает агентство.В пресс-службе ГУ МВД по Москве сообщили РБК, что проверяют информацию.Александр Кокорин, Кирилл Кокорин и футболист Павел Мамаев с их общим знакомым Александром Протасовицким в октябре 2018 года устроили две драки в центре Москвы. В связи с этим в мае 2019 года Пресненский суд  Мамаева и Протасовицкого — на один год и пять месяцев колонии общего режима, братьев Кокориных — на один год и шесть месяцев. В сентябре 2019 года их отпустили по УДО."
2,Россияне стали чаще пользоваться услугами гладильщиц и водителей,"Виктория Полякова, ","30 июн, 07:30","На фоне пандемии спрос в сфере услуг во втором квартале вырос на 66% год к году, говорится в исследовании сервиса «Авито Услуги» (есть у РБК).Больше всего спрос подскочил на глажку белья — за год он вырос в четыре раза. При этом мастера часто предлагают вместе с глажкой и дополнительные услуги, например повесить шторы.На втором месте оказалась доставка еды. Этой услугой россияне стали пользоваться в три раза чаще, еду заказывали в том числе для праздничного стола, в офисы или на дачу. В три раза, на 215%, во втором квартале, перед сезоном свадеб и выпускных, вырос спрос и на услуги по ремонту фото-, видео- и аудиотехники. Четвертое место, по данным сервиса, занимает вождение: за год спрос на услугу вырос на 188%.              Кроме того, среди россиян популярны услуги, связанные со спа-процедурами, здоровьем, вывозом мусора, детским развитием и генеральной уборкой.По данным «Авито Услуг», в этом году из рейтинга выбыли некоторые категории: например, в прошлом году из-за закрытия салонов красоты россияне активно приглашали домой парикмахеров. Теперь же они пользуются услугами мастеров маникюра и педикюра: это обходится дешевле, чем в салоне, и позволяет сэкономить время на дорогу.Как отметил руководитель маркетинговых проектов «Авито Услуг» Иван Чулков, за год выросло и число объявлений от мастеров — на 49%, однако этот показатель отстает от темпов роста спроса. То же характерно и для крупных городов России. По словам Чулкова, по росту спроса на рынке услуг, как и в прошлом году, лидирует Махачкала, этот рынок развивается также в Калининграде, Краснодаре и Екатеринбурге.В конце января эксперты «Авито» назвали услуги, цены на которые за год пандемии выросли сильнее всего. На первом месте оказалась уборка помещений (на 50%), на втором — ремонт и строительство и вызов «мастера на час» (25%). Замыкает тройку лидеров установка бытовой техники (20%)."
3,В ВОЗ оценили введение обязательных QR-кодов для посещения ресторанов,Non author,"30 июн, 06:40","Одно только введение в Москве обязательных QR-кодов для посещения ресторанов и кафе не способно остановить распространение коронавируса, меры должны действовать комплексно. Об этом заявила представитель ВОЗ в России Мелита Вуйнович, передает .«Генеральный директор ВОЗ доктор Тедрос и региональный директор Европейского бюро ВОЗ доктор Клюге говорили много раз: одна мера не решает ситуацию, необходим комплекс мер, которые необходимо предпринять в совокупности, чтобы сгладить кривую или остановить пандемию», — уточнила она.              В столице с 28 июня в рестораны и кафе можно  только по QR-коду (за исключением летних веранд, куда до 12 июля пускают свободно). Код могут получить те, кто привился от COVID-19 (в случае двухкомпонентной вакцины получил обе дозы) либо переболел за последние полгода (с официальным подтверждением диагноза). Также код выдают на основании отрицательного ПЦР-теста, сделанного не ранее трех дней назад.Детям коды будут даваться только на основании ПЦР-теста либо перенесенной болезни, так как несовершеннолетние не подлежат вакцинации.    Бумажные справки вместо QR-кода не принимаются. Власти  это борьбой с мошенниками, подделывающими справки.По последним данным, число зараженных коронавирусом в Москве  за миллион. "
4,Гидрометцентр спрогнозировал аномальную жару в нескольких регионах,Non author,"30 июн, 06:12","Аномальная жара в ближайшее время ожидает регионы Северо-Западного, Южного, Дальневосточного федеральных округов. Об этом сообщил  научный руководитель Гидрометцентра Роман Вильфанд.«Юг Урала, Свердловская, Челябинская, Курганская области — там на 7–10 градусов выше нормы. Температура ожидается 30–36 градусов тепла. В Приволжском федеральном округе температура также на 7–10 градусов выше нормы. В Чувашии, например, прогнозируется 31–37 градусов тепла», — уточнил он.              В Южном федеральном округе ожидается температура выше нормы на 7 градусов. В Якутии и Хабаровском крае потеплеет на 8–10 градусов выше нормы, до 37 выше нуля. В Архангельской и Вологодской областях, Республике Коми воздух прогреется на 7–8 градусов выше нормы, до 32 градусов.В курортном Краснодарском крае, по прогнозу Вильфанда, в ближайшие дни термометр будет показывать 30–35 градусов.    Жителей Центрального федерального округа ожидает заметный разброс температуры в зависимости от региона. «Заметная разница будет между севером и югом. Прогнозируется от 20 до 26 градусов в Москве и более северных регионах, в Костроме, Ивановской области», — сообщил Вильфанд.В регионах Черноземья, Белгородской, Курской, Воронежской областях ожидается разброс от 26 до 31 градуса тепла.Ранее Вильфанд обещал, что на этой неделе аномальная жара, накрывшая Москву, . 30 июня дневная температура в городе будет уже плюс 25–26 градусов. «Конечно, это тоже еще очень теплая погода, но превышение нормы уже всего лишь на 5 градусов. Это уже будет не та изнуряющая жара», — резюмировал синоптик."
5,Завод из «дела Фургала» предупредил о риске остановки,Светлана Бурмистрова,"30 июн, 07:00","Руководители четырех крупных электрометаллургических заводов попросили премьер-министра Михаила Мишустина отложить введение экспортных пошлин на металл из-за риска остановки работы предприятий.Об этом говорится в письме глав Абинского электрометаллургического завода (АЭМЗ) и его «дочки» «Балаково», дальневосточного завода «Амурсталь» и Ашинского метзавода, которое они отправили Мишустину 24 июня.У РБК есть копия письма, его подлинность подтвердил основной владелец АЭМЗ Иван Демченко. В аппарате правительства РБК сообщили, что письмо поступило и было направлено для рассмотрения в Минэкономразвития и Минпромторг, где, в свою очередь, сообщили, что письма получены и приняты в работу. РБК направил запросы представителям «Амурстали» и Ашинского метзавода.До апреля 2021-го 25% «Амурстали» принадлежало экс-супруге бывшего губернатора Хабаровского края Сергея Фургала Ларисе Стародубовой, сейчас 100% консолидировало АО «Армады» (ранее оно принадлежало Павлу Бальскому, бывшему члену совета директоров СМП-банка, сейчас владельцы АО не раскрываются).Фургал был  в Хабаровске в июле 2020 года, его обвиняют в организации убийства бизнесменов Евгения Зори и Олега Булатова в 2004–2005 годах, а также в покушении на амурского предпринимателя Александра Смольского. Экс-губернатор , что дело против него связано со сменой собственников на заводе «Амурсталь».Производственные мощности «Амурстали»  2 млн т стали в год, АЭМЗ — 1,6 млн т металлопродукции в год, «Балаково» — около 1 млн т в год, Ашинского метзавода — около 1 млн т в год.Почему заводам грозит прекращение деятельностиНа прошлой неделе глава Минэкономразвития Максим Решетников на заседании правительства  ввести временные пошлины на экспорт черных и цветных металлов за пределы Евразийского экономического союза (помимо России туда входят Белоруссия, Казахстан, Армения и Киргизия). Глава Минпромторга Денис Мантуров , что «вынужден» поддержать эту меру. В итоге правительство 25 июня утвердило введение пошлин сроком с 1 августа до 31 декабря 2021 года: для арматуры они составят 15% от цены, но не менее $115 за тонну. Мишустин также  постановление об увеличении экспортных пошлин на лом черных металлов с €45 до €70 за тонну.              Через экспортные пошлины власти  изъять у металлургов около 160 млрд руб. — 110–115 млрд руб. у экспортеров черных металлов и еще 50 млрд руб. у поставщиков цветных. По словам первого вице-премьера Андрея Белоусова, эта сумма составляет лишь «незначительную часть», около 20–25%, сверхприбыли, которую российские металлурги получили благодаря росту цен на металлы за рубежом. Полученные средства российские власти планируют направить на компенсацию удорожания металлургической продукции в строительстве и промышленности на внутреннем рынке. Однако владелец «Северстали» Алексей Мордашов, ссылаясь на прогнозы западных аналитиков, уже , что пошлины, наоборот, приведут к дальнейшему росту цен на сталь в мире.Компании производят свою продукцию из лома, который закупают в условиях жесткой рыночной конкуренции, указано в письме. «Новые вывозные пошлины на готовую продукцию будут в 1,5 раза превышать пошлину на металлолом (€70 за тонну), что сделает вывоз этого сырья (лома. — ) из страны выгоднее, чем экспорт полуфабрикатов или арматуры», — считают они. В конечном итоге такая ситуация приведет к оттоку лома на экспорт и остановке ряда экспортно ориентированных производств.Мощности по производству строительного проката в России (арматура, катанка, прутки и проч.) составляют 25 млн т в год, а потребление — лишь 12,5 млн т в год. Экспорт строительного проката увеличился с 2015 года к 2020 году с 2,6 млн до 3,5 млн т, приводятся данные в письме. При этом большинство электрометаллургических предприятий географически удалены от рынков сбыта, что делает их работу невозможной при нестабильных условиях экспортной деятельности. Всего на этих четырех заводах (АЭМЗ, «Балаково», «Амурсталь» и Ашинский метзавод) работают более 15 тыс. человек.              Рентабельность электрометаллургических заводов и так в три раза ниже, чем у их конкурентов — вертикально интегрированных холдингов («Северстали», Evraz и проч.), предупреждают авторы письма. По оценке управляющего директора рейтинговой службы НРА Сергея Гришунина, этот показатель у заводов составляет от 8 до 16% доналоговой прибыли (EBITDA).Введение экспортных пошлин на металлопродукцию приведет к резкому падению финансово-экономических показателей ряда заводов вплоть до их полной остановки, даже учитывая благоприятную конъюнктуру на мировых рынках, заключают авторы письма. Металлурги просят премьера отложить введение пошлин на металлопродукцию до проведения детального анализа последствий с представителями отрасли.    Маржинальность электросталеплавильного производства мелких заводов серьезно уступает показателям стальных комбинатов, и, с другой стороны, они являются жертвой роста цен на лом на мировых рынках, цена на который сейчас находится на уровнях $500 за тонну, отмечает Гришунин. При этом даже пошлина на экспорт лома не позволяет покупателям получать сегодня это сырье дешевле 33 тыс. руб. за 1 т без учета НДС и доставки. Одновременно с этим рост цен на продукцию электросталеплавильщиков (арматура и прутки) в отличие от цен на плоский прокат ограничен, так как мощности по этой продукции в стране более чем в два раза превышают потребности, а экспортируется такого проката довольно мало, пояснил эксперт.«Для стальных мини-заводов действительно складывается удручающая картина: нехватка подорожавшего лома, конкуренция с комбинатами-гигантами за узкий российский рынок строительного проката и теперь еще экспортные пошлины на сортовой прокат. В такой ситуации действительно есть риск потери этого сегмента отрасли и ее поглощения комбинатами-гигантами», — резюмировал Сергей Гришунин."
6,В Туве в ДТП погиб севший за руль чужой машины подросток,Non author,"30 июн, 07:17","В Дзун-Хемчикском районе Тувы перевернулась машина УАЗ-31512 с семью несовершеннолетними, водитель погиб на месте. Об этом  на сайте регионального главка МВД.«Установлено, что автомашина УАЗ-31512 принадлежит отцу одного из пассажиров, все участники ДТП не были пристегнуты ремнями безопасности», — отмечается в сообщении.              Инцидент произошел на автодороге Чадан — Бажын — Алаак. Погибшему водителю было 13 лет. С ним в машине ехали шестеро подростков в возрасте 12–14 лет. Им оказана разовая медицинская помощь, все отпущены на амбулаторное лечение.    Полиция проводит предварительную проверку.Ранее в Лысково Нижегородской области на 500-м км автодороги М-7 «Волга»  четыре машины. Один автомобиль загорелся. Погибли три человека."
7,В Туве прекратили работу детских лагерей из-за вспышки COVID-19,Наталия Анисимова,"30 июн, 07:25","Власти Тувы досрочно прекратили работу всех оздоровительных лагерей на территории республики, после того как в одном из них коронавирусом заразились более 70 человек. Об этом  пресс-служба регионального правительства.Второй и третий сезоны в лагерях не будут принимать детей. Со среды, 30 июня, их начнут отправлять домой. Родителям вернут деньги за купленные путевки, для них будет работать горячая линия.Как сообщили в правительстве, всего в республике работало 65 оздоровительных лагерей, в том числе 17 загородных, где отдыхали 7,5 тыс. детей.              «Теперь приоритетная задача состоит в лечении заболевших детей и недопущении дальнейшего распространения инфекции среди контактных лиц», — заявил исполняющий обязанности главы Тувы Владислав Ховалыг. Он поручил принять необходимые профилактические меры.                Вспышка COVID-19  в лагере «Байлак». У одного ребенка появились симптомы ОРВИ, его направили на обследование. Анализы на коронавирусную инфекцию показали положительный результат. После этого в «Байлаке» начали проверять всех остальных.По данным Следственного комитета, до этого у более чем 30 детей отмечались разнообразные симптомы, в том числе боли в горле, насморк, головная боль и кашель. Однако педиатр, несмотря на жалобы, не изолировал заболевших и не сообщил о случившемся родителям, в Минздрав или Роспотребнадзор. Помимо этого, установило ведомство, в лагере бывали посторонние. Следователи  дело об оказании услуг, не отвечающих требованиям безопасности.Смена в лагере началась 10 июня. В Роспотребнадзоре  ранее, что лагерь работал с 75% наполняемостью. Как сообщили в СК, в «Байлаке» находились 162 ребенка и 22 сотрудника. COVID-19 выявили у 68 детей и девяти работников лагеря, всех госпитализировали.    "
8,"Сделка по производителю «Спутника V», правило инвестора. Главное за ночь",Наталья Демченко,"29 июн, 08:46","ВТБ купит долю производителя «Спутника V» у АФК «Система»АФК «Система» Владимира Евтушенкова планирует продать 11,2% головной компании «Биннофарм Групп» инвестиционному подразделению ВТБ,  РБК источник, близкий к одной из сторон сделки. «Биннофарм Групп» — один из крупнейших фармхолдингов в стране, производит более 450 препаратов, в том числе вакцину «Спутник V».Глава Finstar Олег Бойко — про мечты о миллиарде и главном правиле инвестораГлавное правило инвестора — инвестировать в то, в чем разбираешься,  миллиардер, глава инвестиционной компании Finstar Олег Бойко. А вот вместо мечты о первом миллиарде бизнесмену лучше сосредоточиться на том, чтобы найти для себя максимальный «уровень счастливости».              Швейцария и Испания в четвертьфинале Евро-2020Сборная Испании по футболу  на чемпионате Европы сборную Хорватии. Встреча прошла в Копенгагене на поле стадиона «Паркен» и завершилась со счетом 5:3.Что еще произошло:"
9,Часть россиян получат выходной по случаю празднования Курбан-байрама,Non author,"29 июн, 09:32","У жителей Республики Адыгея 20 июля, когда празднуется исламский религиозный праздник Курбан-байрам, будет нерабочим. Это  из производственного календаря министерства труда и социального развития республики на 2021 год.Согласно документу, 20 июля станет полностью нерабочим днем, а 19 июля — предпраздничным, рабочий день сократят на один час.Также день празднования Курбан-байрама будет выходным для жителей Башкирии, как  в производственном календаре республики. В таком же календаре министерства труда, занятости и социальной защиты Татарстана 20 июля  выходным днем по случаю празднования Курбан-байрама.                           В 2020 году день празднования Курбан-байрама, который пришелся на 31 июля, тоже был выходным в ,  и других регионах. Из-за пандемии коронавируса молитву в Московской соборной мечети и других регионах  без прихожан, а в Татарстане празднование организовали на открытом воздухе.Курбан-байрам отмечается на десятый день 12-го месяца мусульманского лунного календаря Зуль-хиджа и знаменует завершение паломничества мусульман в Мекку. В Курбан-байрам богослужение начинается с проповедей и праздничного намаза, а кульминацией становится принесение в жертву животных."
10,Прогулочное судно с детьми село на мель в Петербурге,Non author,"29 июн, 09:37","Прогулочное судно «Моя мечта» (тип «Москва 10») с 85 пассажирами на борту село на мель в акватории Невы в Санкт-Петербурге. Об этом РБК сообщили в ГУ МЧС по городу и Ленобласти.Согласно сообщению, инцидент произошел в ночь на 29 июня. Среди пассажиров теплохода были 63 подростка в возрасте от 16 до 18 лет.Сотрудники МЧС эвакуировали всех пассажиров на берег, семь членов экипажа остались на борту.              В главке добавили, что в результате инцидента никто не пострадал, разлива нефтепродуктов не произошло.Ранее, 11 июня, теплоход «Палех» с 30 пассажирами на борту  на мель в Петроградском районе Санкт-Петербурга. На помощь теплоходу подоспели спасательные катера «Стремительный» и «Раптор», а также катер пожарно-спасательной службы. Позднее судно самостоятельно снялось с мели и отплыло."
